Symbol,Earnings Date,Reported EPS,Surprise(%),Return_1D_%,Return_5D_%,Return_30D_%
MMM,2026-01-20 06:00:00-05:00,1.83,1.79,3.047211448284081,0.0384852958441583,0.6613590914087722
MMM,2025-10-21 06:00:00-04:00,2.19,5.6,2.6131757282298715,-1.5547389502856512,1.6548222901697045
MMM,2025-07-18 06:00:00-04:00,2.16,7.37,-1.0600725307458272,-0.5038780006868948,1.4152582524012478
MMM,2025-04-22 06:00:00-04:00,1.88,6.42,2.072610288343953,2.09466504467316,8.02316857292021
MMM,2025-01-21 06:00:00-05:00,1.68,9.32,0.3420013756713938,1.6228440204792396,-0.9758511862024014
MMM,2024-10-22 06:00:00-04:00,1.98,4.13,-1.1257848311353438,-0.2736245924106826,4.791725939925575
MMM,2024-07-26 06:00:00-04:00,1.93,14.92,1.2703630980782687,-0.4394413111279163,4.499263593721911
MMM,2024-04-30 06:00:00-04:00,2.39,13.15,-1.6558429108334838,-2.1231272359441533,3.86550368306396
MMM,2024-01-23 06:00:00-05:00,2.42,4.61,2.938685085708151,1.1905107337784997,0.9850126283404582
MMM,2023-10-24 06:00:00-04:00,2.68,14.23,-0.827815442073231,1.3088787946527582,17.356840421135473
MMM,2023-07-25 06:00:00-04:00,2.17,23.34,-1.2872991991445184,-3.3114360259654787,-4.5325860957890685
MMM,2023-04-25 06:00:00-04:00,1.97,23.44,2.341622333539642,-0.0874298426606734,-0.610574333887868
MMM,2023-01-24 06:00:00-05:00,2.28,-3.81,0.5490134806273315,2.5945124238934283,-5.324445390497951
MMM,2022-10-25 06:00:00-04:00,2.69,3.83,0.0814963149235247,0.1303974833640556,3.891901043906457
MMM,2022-07-26 06:00:00-04:00,2.48,1.65,1.0874277391253455,3.3343027447819216,-13.226266665781727
MMM,2022-04-26 13:00:00-04:00,2.65,14.43,2.031766180442433,6.948197261410703,0.989577304312755
MMM,2022-01-25 06:00:00-05:00,2.31,14.6,0.5079337920825292,-1.559377561237693,-14.163447681210634
MMM,2021-10-26 06:00:00-04:00,2.45,10.94,0.914499285739055,2.2385734258197445,-0.4870845213013843
MMM,2021-07-27 06:00:00-04:00,2.59,13.77,-0.0554876096824237,-0.3782569557877572,-5.604226689321371
MMM,2021-04-27 06:00:00-04:00,2.77,20.79,1.592449248978263,2.8122745224967343,4.437737555036454
MMM,2021-01-26 06:00:00-05:00,2.38,9.79,-1.730482856768028,-5.984452718914382,-0.2995175482566874
MMM,2020-10-27 06:00:00-04:00,2.43,7.2,-0.031559027897802,1.0281890622060623,10.383389952842355
MMM,2020-07-28 06:00:00-04:00,1.78,-1.06,-2.6431979275026496,-0.5760055798005591,5.366394436509274
AOS,2026-01-29 06:00:00-05:00,0.9,6.39,1.660091547047377,7.4704119617131965,-9.647562034181156
AOS,2025-10-28 06:00:00-04:00,0.94,3.3,1.707818939770795,1.2325585354182074,5.142040242331619
AOS,2025-07-24 06:00:00-04:00,1.07,7.93,-1.4293672253928402,-1.8184644599193525,3.131750055430113
AOS,2025-04-29 06:00:00-04:00,0.95,4.28,-0.6631210517917676,-1.3704608878424749,-5.319771145980534
AOS,2025-01-30 06:00:00-05:00,0.85,-4.77,-0.3863177932116683,-3.1797865723911336,0.2823216854745394
AOS,2024-10-22 06:00:00-04:00,0.82,-0.05,0.0517545942556388,-1.798178148291996,-6.02151052241155
AOS,2024-07-23 06:00:00-04:00,1.06,0.01,1.7583110718991108,5.6954753696347815,-3.2284990897292176
AOS,2024-04-25 06:00:00-04:00,1.0,1.36,1.713118651307102,1.713118651307102,-1.7010478965824447
AOS,2024-01-30 06:00:00-05:00,0.97,1.4,2.5254434286857883,2.8733409108986088,11.609336313044102
AOS,2023-10-26 06:00:00-04:00,0.9,13.36,2.9634354960595664,6.030521091752613,15.63198243019436
AOS,2023-07-27 06:00:00-04:00,1.01,11.76,0.6094762980141214,0.6233437146045598,-2.3271995798373104
AOS,2023-04-27 06:00:00-04:00,0.94,20.11,2.709050250027466,3.060470852574167,0.4100261427253407
AOS,2023-01-31 06:00:00-05:00,0.86,8.88,0.6289194534152742,-5.360218487484506,-3.702120729647567
AOS,2022-10-27 06:00:00-04:00,0.69,-0.03,0.7355666525146742,2.9422740978853628,7.594722879279011
AOS,2022-07-28 06:00:00-04:00,0.82,1.28,-2.1179001508370217,-4.220012322262242,-11.221757868194258
AOS,2022-04-28 06:00:00-04:00,0.77,2.81,1.5231845114212257,1.6601142942933342,-4.004785958222227
AOS,2022-01-27 06:00:00-05:00,0.87,13.22,1.2185351258770138,-2.5430717170748416,-12.741727572073772
AOS,2021-10-28 06:00:00-04:00,0.82,20.43,2.230747797320064,6.131124601548773,14.328734155340172
AOS,2021-07-29 06:00:00-04:00,0.73,12.2,-0.6967155330016599,1.90528943617499,-0.8958025030716715
AOS,2021-04-29 06:00:00-04:00,0.6,5.27,3.7490830194838143,4.988941912509627,1.6088486428441444
AOS,2021-01-28 06:00:00-05:00,0.74,26.54,3.186018819927164,10.497251239068746,20.221022028747942
