Symbol,Earnings Date,Reported EPS,Surprise(%),Return_1D_%,Return_5D_%,Return_30D_%,Surprise_Category
MMM,2026-04-21 06:00:00-04:00,2.14,7.88,-0.6448085269975365,-1.3101963853183094,5.336875026434341,Beat
MMM,2026-01-20 06:00:00-05:00,1.07,-40.38,3.0472165317508537,0.0384866617624341,0.6613597770501486,Strong Miss
MMM,2025-10-21 06:00:00-04:00,2.19,5.6,2.613163336587081,-1.5547392915465787,1.6548221001938372,Beat
MMM,2025-07-18 06:00:00-04:00,2.16,7.37,-1.0600725763041905,-0.5038597102237057,1.4152745494292316,Beat
MMM,2025-04-22 06:00:00-04:00,1.88,6.42,2.0726179743303232,2.0946605065442787,8.0231717527705,Beat
MMM,2025-01-21 06:00:00-05:00,1.68,9.32,0.3419805523627522,1.622836515358492,-0.9758556698274454,Beat
MMM,2024-10-22 06:00:00-04:00,1.98,4.13,-1.1257837468480023,-0.273633220323969,4.791715078468604,Beat
MMM,2024-07-26 06:00:00-04:00,1.93,14.92,1.270360343932251,-0.4394449019618656,4.499264982575781,Strong Beat
MMM,2024-04-30 06:00:00-04:00,2.39,13.15,-1.6558534745316889,-2.1231362549847352,3.865500135393127,Strong Beat
MMM,2024-01-23 06:00:00-05:00,2.42,4.61,2.938642484087892,1.1904693700958089,0.9849502280137484,Beat
MMM,2023-10-24 06:00:00-04:00,2.68,14.23,-0.82783666021527,1.3088716618657343,17.356824848939205,Strong Beat
MMM,2023-07-25 06:00:00-04:00,2.17,23.34,-1.287281096700132,-3.311441595889348,-4.532587019523001,Strong Beat
MMM,2023-04-25 06:00:00-04:00,1.97,23.44,2.3416340919816,-0.0874474490609226,-0.6105518868362453,Strong Beat
MMM,2023-01-24 06:00:00-05:00,2.28,-3.81,0.5490164818948688,2.5945331285028903,-5.324421068836965,Miss
MMM,2022-10-25 06:00:00-04:00,2.69,3.83,0.0815101682193909,0.1304094752216052,3.891927945622748,Beat
MMM,2022-07-26 06:00:00-04:00,2.48,1.65,1.087426385557203,3.3342920906463847,-13.226264350466684,Beat
MMM,2022-04-26 13:00:00-04:00,2.65,14.43,2.0317815234833145,6.9482154415307305,0.9895779644092594,Strong Beat
MMM,2022-01-25 06:00:00-05:00,2.31,14.6,0.5079544052911626,-1.5593570523310547,-14.163442236270235,Strong Beat
MMM,2021-10-26 06:00:00-04:00,2.45,10.94,0.91447376131562,2.238509005524966,-0.4871197786831643,Strong Beat
MMM,2021-07-27 06:00:00-04:00,2.59,13.77,-0.0554665643435798,-0.3782441257091046,-5.604202169796553,Strong Beat
MMM,2021-04-27 06:00:00-04:00,2.77,20.79,1.592408225857479,2.8122280066781737,4.437708601810356,Strong Beat
MMM,2021-01-26 06:00:00-05:00,2.38,9.79,-1.7305183305780574,-5.984458486171236,-0.2994879079620674,Beat
MMM,2020-10-27 06:00:00-04:00,2.43,7.2,-0.0315319524959929,1.028199601628949,10.383393021331925,Beat
MMM,2020-07-28 06:00:00-04:00,1.78,-1.06,-2.643201432066635,-0.5760044703015239,5.366411101633624,Miss
AOS,2026-01-29 06:00:00-05:00,0.9,6.39,1.660091547047377,7.4704119617131965,-9.647562034181156,Beat
AOS,2025-10-28 06:00:00-04:00,0.94,3.62,1.7078427846955326,1.232570502642641,5.14205267171611,Beat
AOS,2025-07-24 06:00:00-04:00,1.07,7.93,-1.4293672253928402,-1.818453649560824,3.1317392450715844,Beat
AOS,2025-04-29 06:00:00-04:00,0.95,4.28,-0.6631210517917676,-1.3704608878424749,-5.319765406262951,Beat
AOS,2025-01-30 06:00:00-05:00,0.85,-4.77,-0.3863293822417854,-3.1797920194426976,0.2823100186550776,Miss
AOS,2024-10-22 06:00:00-04:00,0.82,-0.05,0.0517341313554035,-1.7981880066805442,-6.021519517030847,Miss
AOS,2024-07-23 06:00:00-04:00,1.06,0.01,1.7582914222330075,5.6954655448017295,-3.2284892648961665,Beat
AOS,2024-04-25 06:00:00-04:00,1.0,1.36,1.7130995065732009,1.7130995065732009,-1.7010574689493956,Beat
AOS,2024-01-30 06:00:00-05:00,0.97,1.4,2.525453432564876,2.873330352938665,11.609314595436055,Beat
AOS,2023-10-26 06:00:00-04:00,0.9,13.36,2.9633995996414666,6.030532225662875,15.631945032752029,Strong Beat
AOS,2023-07-27 06:00:00-04:00,1.01,11.76,0.6094651006355861,0.6233325156826441,-2.327199320830549,Strong Beat
AOS,2023-04-27 06:00:00-04:00,0.94,20.11,2.709038116750586,3.060482304283094,0.4099906545379241,Strong Beat
AOS,2023-01-31 06:00:00-05:00,0.86,8.88,0.6289193805691965,-5.360229449360221,-3.702137674944191,Beat
AOS,2022-10-27 06:00:00-04:00,0.69,-0.03,0.7355664872808435,2.942235997823439,7.594698709765389,Miss
AOS,2022-07-28 06:00:00-04:00,0.82,1.28,-2.117900013742468,-4.220018522230982,-11.221757141794624,Beat
AOS,2022-04-28 06:00:00-04:00,0.77,2.81,1.5231844041600735,1.660107135488296,-4.004792718110573,Beat
AOS,2022-01-27 06:00:00-05:00,0.87,13.22,1.2185571558934445,-2.543006305675546,-12.741707070469303,Strong Beat
AOS,2021-10-28 06:00:00-04:00,0.82,20.43,2.23073644300714,6.131113247235849,14.328734155340172,Strong Beat
AOS,2021-07-29 06:00:00-04:00,0.73,12.2,-0.6967217048002334,1.9053019617117333,-0.8957732007255427,Strong Beat
AOS,2021-04-29 06:00:00-04:00,0.6,5.27,3.749058327985566,4.988904875262255,1.6088424699695827,Beat
AOS,2021-01-28 06:00:00-05:00,0.74,26.54,3.186018327235028,10.49723415155931,20.22101116963277,Strong Beat
AOS,2020-10-29 06:00:00-04:00,0.66,27.66,2.2441499154863545,5.552327773858004,7.196744241171286,Strong Beat
AOS,2020-07-30 06:00:00-04:00,0.45,7.34,0.4777828634167672,1.599500996632555,3.57291978279506,Beat
ABT,2026-04-16 07:00:00-04:00,1.15,0.33,-0.8366879237895891,-5.867162946407462,-9.327547781241824,Beat
ABT,2026-01-22 07:00:00-05:00,1.5,0.34,1.2567491375233502,1.7501463160342006,4.868748674686551,Beat
ABT,2025-10-15 07:00:00-04:00,1.3,0.05,0.7130016040495661,-1.0107289707602538,0.995058472963192,Beat
ABT,2025-07-17 07:00:00-04:00,1.26,0.28,0.6064498468082418,2.320700966980671,7.269351270130389,Beat
ABT,2025-04-16 07:00:00-04:00,1.09,1.74,-0.8321859729516972,-1.6261946238627345,1.9774105326375389,Beat
ABT,2025-01-22 07:00:00-05:00,1.34,-0.17,1.468917645743037,4.536602466779257,11.29688368111261,Miss
ABT,2024-10-16 07:00:00-04:00,1.21,0.76,1.2723691835387645,-1.1451335990310407,0.7464536532145392,Beat
ABT,2024-07-18 07:00:00-04:00,1.14,3.17,1.6563832899780608,3.146138018030601,11.016368418676985,Beat
ABT,2024-04-17 07:00:00-04:00,0.98,2.81,1.909379478638399,1.5104124311574956,-2.9257960670133683,Beat
ABT,2024-01-24 07:00:00-05:00,1.19,0.04,-0.3912780453074029,1.8141356894235128,7.567800851596808,Beat
ABT,2023-10-18 07:00:00-04:00,1.14,3.7,1.4040086709483657,-1.529767502865851,9.891019935467831,Beat
ABT,2023-07-20 07:00:00-04:00,1.08,2.89,0.2887575544245232,-1.3649504052709138,-10.009629249890748,Beat
ABT,2023-04-19 07:00:00-04:00,1.03,4.31,1.187131733427316,-0.7702677401235724,-5.573165045834847,Beat
ABT,2023-01-25 07:00:00-05:00,1.03,9.65,-1.0083762418947575,1.0623855317565387,-12.703693173862112,Beat
ABT,2022-10-19 07:00:00-04:00,1.15,22.9,-0.1575540369366663,1.806523402088143,13.52797157618299,Strong Beat
ABT,2022-07-20 07:00:00-04:00,1.43,25.29,-1.346107685199505,-0.2981343715482621,-5.2850451923595925,Strong Beat
ABT,2022-04-20 07:00:00-04:00,1.73,18.09,-3.023412619048846,-4.344656834009458,-5.511871981102199,Strong Beat
ABT,2022-01-26 07:00:00-05:00,1.32,9.48,4.07669996222914,8.028891645800027,-5.330453050077802,Beat
ABT,2021-10-20 07:00:00-04:00,1.4,47.91,1.3354659641905304,2.1271283521163404,4.174332928781711,Strong Beat
ABT,2021-07-22 07:00:00-04:00,1.17,14.92,-1.0596176894566058,0.1490043099215002,6.738417366746405,Strong Beat
ABT,2021-04-20 07:00:00-04:00,1.32,3.99,0.734095871192657,-0.9379908832057624,-10.929844516296049,Beat
ABT,2021-01-27 07:00:00-05:00,1.45,7.11,2.65803086869938,-0.539903895667256,-3.056728162689009,Beat
ABT,2020-10-21 07:00:00-04:00,0.98,8.0,-1.543648442658866,-4.092054999105154,-1.443186516826196,Beat
ABT,2020-07-16 07:00:00-04:00,0.57,36.92,-0.1713085024085215,-0.3022850155133872,11.627198548048383,Strong Beat
ABBV,2026-02-04 07:00:00-05:00,2.71,2.16,2.013509236074027,3.8717948826020185,-6.369274088597919,Beat
ABBV,2025-10-31 07:00:00-04:00,1.86,4.23,1.854119316373349,3.184566522652995,5.524624054951437,Beat
ABBV,2025-07-31 07:00:00-04:00,2.97,2.14,1.0091138071241297,1.4496408904898033,11.469107492161108,Beat
ABBV,2025-04-25 07:00:00-04:00,2.46,2.62,0.6082983268396461,1.9392673207292208,-1.4765516632934663,Beat
ABBV,2025-01-31 07:00:00-05:00,2.16,1.92,-0.0999384228780208,0.1051820539361396,12.469764445555429,Beat
ABBV,2024-10-30 07:00:00-04:00,3.0,2.82,-0.1569636478301366,-1.648110428839236,-14.960511076660712,Beat
ABBV,2024-07-25 07:00:00-04:00,2.65,-0.39,-1.7390309713800671,2.230493016569269,6.081230043611434,Miss
ABBV,2024-04-26 07:00:00-04:00,2.31,2.37,0.6934052402277344,0.7491065300815776,3.8261327201002095,Beat
ABBV,2024-02-02 07:00:00-05:00,2.79,-0.32,1.18533245633577,1.0568815038038244,4.904818979715662,Miss
ABBV,2023-10-27 07:00:00-04:00,2.95,2.8,-0.500389542347545,-0.486294722908983,7.999196993980738,Beat
ABBV,2023-07-27 07:00:00-04:00,2.91,3.64,-0.84191979905147,-2.068293580651173,-1.1998939022419,Beat
ABBV,2023-04-27 07:00:00-04:00,2.46,-1.37,1.713856986621792,-2.0447395917131947,-8.860506374400712,Miss
ABBV,2023-02-09 07:00:00-05:00,3.6,0.65,1.1049082624470354,-0.4866671207720272,3.6106676566764992,Beat
ABBV,2022-10-28 07:00:00-04:00,3.66,2.65,0.3483712052865682,1.161225526931697,12.561499702389328,Beat
ABBV,2022-07-29 07:00:00-04:00,3.37,1.83,0.1212283029739842,0.0855681515128066,-1.2052557538705044,Beat
ABBV,2022-04-29 07:00:00-04:00,3.16,0.56,1.169939515645327,2.089672206619607,-6.931768687240155,Beat
ABBV,2022-02-02 07:00:00-05:00,3.31,0.84,-0.0568671691830536,1.4069691500034118,13.12443291726238,Beat
ABBV,2021-10-29 07:00:00-04:00,3.33,3.52,1.4981373733557215,1.0887526988544467,10.870139026935206,Beat
ABBV,2021-07-30 07:00:00-04:00,3.11,2.57,0.6929214654056026,-1.2039959816609476,-7.769603455084151,Beat
ABBV,2021-04-30 07:00:00-04:00,2.95,4.26,-0.6801528281481002,1.342867692074602,1.002799302834524,Beat
ABBV,2021-02-03 07:00:00-05:00,2.92,2.42,0.1842785372106867,-4.404309393630834,-4.70835910995638,Beat
ABBV,2020-10-30 07:00:00-04:00,2.83,2.32,-0.3286287366635731,7.784672841149465,16.509891271140226,Beat
ABBV,2020-07-31 07:00:00-04:00,2.34,6.36,-1.7198466056924593,-3.7107029636539286,-5.242903691278275,Beat
ACN,2026-03-19 06:00:00-04:00,2.93,3.26,0.0149965390234721,-3.695188765568624,-9.171726299389704,Beat
ACN,2025-12-18 06:00:00-05:00,3.94,5.87,-0.5803368049314555,-0.3342501246316161,-11.23966914121186,Beat
ACN,2025-09-25 06:00:00-04:00,3.03,1.97,3.360255741303793,2.657242761379143,2.8413575425725184,Beat
ACN,2025-06-20 06:00:00-04:00,3.49,5.2,1.9389838484067168,1.318647836299654,-15.828581338250308,Beat
ACN,2025-03-20 06:00:00-04:00,2.82,1.11,0.6091817578381108,-0.3242650562177527,1.2825222040779758,Beat
ACN,2024-12-19 06:00:00-05:00,3.59,5.12,-2.0744003442877816,-3.788511806519946,6.17303357939072,Beat
ACN,2024-09-26 06:00:00-04:00,2.79,0.63,1.0809289560917985,3.585926825191322,2.080968840454036,Beat
